ID,Hyperossified,feeding_biology,feeding_biology2,microhabitat,phragmosis,squamosal_maxilla
Adelotus_brevis,no,vertebrate_predator,vertebrate_predator,terrestrial,no,no
Adenomus_kelaartii,no,invertebrate_predator,unknown,arboreal,no,no
Allobates_kingsburyi,no,invertebrate_predator,unknown,terrestrial,no,no
Allophryne_ruthveni,no,invertebrate_predator,unknown,arboreal,no,no
Amietia_amieti,no,invertebrate_predator,invertebrate_predator,aquatic,no,no
Anaxyrus_fowleri,no,invertebrate_predator,invertebrate_predator,fossorial,no,no
Anaxyrus_quercicus,yes,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Anaxyrus_terrestris,yes,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Anhydrophryne_rattrayi,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Anotheca_spinosa,yes,invertebrate_predator,unknown,arboreal,no,no
Ansonia_mcgregori,no,invertebrate_predator,unknown,terrestrial,no,no
Aparasphenodon_brunoi,yes,invertebrate_predator,invertebrate_predator,arboreal,Phragmosis,no
Argenteohyla_siemersi,yes,invertebrate_predator,unknown,arboreal,Phragmosis,yes
Aromobates_mayorgai,no,invertebrate_predator,unknown,terrestrial,no,no
Arthroleptella_lightfooti,no,invertebrate_predator,unknown,terrestrial,no,no
Arthroleptis_bioko,no,invertebrate_predator,unknown,terrestrial,no,no
Ascaphus_truei,no,invertebrate_predator,invertebrate_predator,aquatic,no,no
Asterophrys_turpicola,yes,vertebrate_predator,vertebrate_predator,terrestrial,no,no
Atelopus_oxyrhynchus,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Aubria_masako,yes,vertebrate_predator,vertebrate_predator,aquatic,no,yes
Austrochaperina_robusta,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Barbourula_busuangensis,no,vertebrate_predator,vertebrate_predator,aquatic,no,no
Bombina_maxima,no,invertebrate_predator,unknown,terrestrial,no,no
Boophis_boehmei,no,invertebrate_predator,unknown,arboreal,no,no
Brachycephalus_ephippium,yes,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Brachytarsophrys_carinense,yes,vertebrate_predator,vertebrate_predator,terrestrial,no,yes
Breviceps_gibbosus,no,invertebrate_predator,invertebrate_predator,fossorial,no,no
Bufo_gargarizans,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Cacosternum_boettgeri,no,invertebrate_predator,unknown,terrestrial,no,no
Callulina_kisiwamsitu,no,invertebrate_predator,unknown,arboreal,no,no
Callulops_stictogaster,no,invertebrate_predator,unknown,terrestrial,no,no
Calyptocephalella_gayi,yes,vertebrate_predator,vertebrate_predator,aquatic,no,yes
Capensibufo_rosei,no,invertebrate_predator,unknown,terrestrial,no,no
Ceratobatrachus_guentheri,yes,vertebrate_predator,vertebrate_predator,terrestrial,no,yes
Ceratophrys_aurita,yes,vertebrate_predator,vertebrate_predator,terrestrial,no,yes
Ceuthomantis_smaragdinus,no,invertebrate_predator,unknown,arboreal,no,no
Chacophrys_pierottii,yes,vertebrate_predator,vertebrate_predator,fossorial,no,yes
Conraua_beccarii,no,invertebrate_predator,unknown,aquatic,no,no
Conraua_goliath,no,vertebrate_predator,vertebrate_predator,aquatic,no,no
Copiula_oxyrhina,no,invertebrate_predator,unknown,terrestrial,no,no
Corythomantis_greeningi,yes,invertebrate_predator,invertebrate_predator,arboreal,Phragmosis,no
Craugastor_megacephalus,no,vertebrate_predator,vertebrate_predator,terrestrial,no,no
Cruziohyla_calcarifer,no,invertebrate_predator,unknown,arboreal,no,no
Dendrobates_tinctorius,yes,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Dendrophryniscus_brevipollicatus,no,invertebrate_predator,unknown,arboreal,no,no
Diaglena_spatulata,yes,invertebrate_predator,invertebrate_predator,arboreal,Phragmosis,yes
Didynamipus_sjostedti,no,invertebrate_predator,unknown,arboreal,no,no
Discodeles_guppyi,no,invertebrate_predator,unknown,aquatic,no,no
Discoglossus_pictus,no,vertebrate_predator,vertebrate_predator,aquatic,no,yes
Eleutherodactylus_coqui,no,vertebrate_predator,vertebrate_predator,arboreal,no,no
Euphlyctis_hexadactylus,no,invertebrate_predator,unknown,aquatic,no,no
Eupsophus_roseus,no,invertebrate_predator,unknown,terrestrial,no,no
Fejervarya_cancrivora,no,vertebrate_predator,vertebrate_predator,aquatic,no,no
Fejervarya_limnocharis,no,vertebrate_predator,vertebrate_predator,aquatic,no,no
Fritziana_fissilis,no,invertebrate_predator,unknown,arboreal,no,no
Gastrotheca_galeata,yes,invertebrate_predator,unknown,terrestrial,Phragmosis,yes
Gastrotheca_guentheri,yes,vertebrate_predator,vertebrate_predator,arboreal,no,yes
Gastrotheca_peruana,yes,invertebrate_predator,unknown,terrestrial,no,yes
Genyophryne_thomsoni,yes,invertebrate_predator,unknown,terrestrial,no,yes
Hadromophryne_natalensis,no,invertebrate_predator,unknown,aquatic,no,no
Hemiphractus_proboscideus,yes,vertebrate_predator,vertebrate_predator,arboreal,no,yes
Hemisus_guineensis,no,invertebrate_predator,invertebrate_predator,fossorial,no,no
Hildebrandtia_ornata,no,vertebrate_predator,vertebrate_predator,fossorial,no,no
Hyalinobatrachium_fleischmanni,no,invertebrate_predator,invertebrate_predator,arboreal,no,no
Hyla_chrysoscelis,no,invertebrate_predator,invertebrate_predator,arboreal,no,no
Hylodes_asper,no,invertebrate_predator,invertebrate_predator,aquatic,no,no
Hylorina_sylvatica,no,invertebrate_predator,unknown,terrestrial,no,no
Hymenochirus_boettgeri,no,invertebrate_predator,invertebrate_predator,aquatic,no,no
Hyperolius_parkeri,no,invertebrate_predator,unknown,arboreal,no,no
Hypodactylus_araiodactylus,no,invertebrate_predator,unknown,terrestrial,no,no
Incilius_epioticus,yes,invertebrate_predator,unknown,terrestrial,no,no
Indirana_phrynoderma,no,invertebrate_predator,unknown,terrestrial,no,no
Ingerana_mariae,no,invertebrate_predator,unknown,terrestrial,no,no
Ischnocnema_gualteri,no,invertebrate_predator,unknown,terrestrial,no,no
Kassina_senegalensis,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Leiopelma_hamiltoni,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Lepidobatrachus_laevis,yes,vertebrate_predator,vertebrate_predator,aquatic,no,yes
Leptobrachium_hasseltii,no,invertebrate_predator,unknown,terrestrial,no,no
Leptodactylus_melanonotus,no,invertebrate_predator,unknown,terrestrial,no,no
Leptophryne_borbonica,no,invertebrate_predator,unknown,terrestrial,no,no
Limnonectes_macrocephalus,no,invertebrate_predator,unknown,aquatic,no,no
Macrogenioglottus_alipioi,yes,invertebrate_predator,unknown,terrestrial,no,no
Megaelosia_goeldii,no,vertebrate_predator,vertebrate_predator,terrestrial,no,no
Melanophryniscus_stelzneri,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Mertensophryne_micranotis,no,invertebrate_predator,unknown,terrestrial,no,no
Micrixalus_fuscus,no,invertebrate_predator,unknown,terrestrial,no,no
Microbatrachella_capensis,no,invertebrate_predator,invertebrate_predator,fossorial,no,no
Myobatrachus_gouldii,no,invertebrate_predator,invertebrate_predator,fossorial,no,no
Nasikabatrachus_sahyadrensis,no,invertebrate_predator,invertebrate_predator,fossorial,no,no
Natalobatrachus_bonebergi,no,invertebrate_predator,unknown,aquatic,no,no
Nectophryne_afra,no,invertebrate_predator,unknown,arboreal,no,no
Nectophrynoides_viviparus,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Nyctibatrachus_aliciae,no,invertebrate_predator,unknown,aquatic,no,no
Nyctimantis_rugiceps,yes,invertebrate_predator,unknown,arboreal,no,no
Nyctimystes_daymani,no,invertebrate_predator,unknown,aquatic,no,no
Odontophrynus_americanus,no,invertebrate_predator,invertebrate_predator,fossorial,no,no
Osornophryne_bufoniformis,yes,invertebrate_predator,unknown,arboreal,no,no
Osteocephalus_taurinus,yes,invertebrate_predator,unknown,arboreal,no,no
Osteopilus_septentrionalis,yes,vertebrate_predator,vertebrate_predator,arboreal,no,yes
Paedophryne_swiftorum,no,invertebrate_predator,unknown,terrestrial,no,no
Paracassina_kounhiensis,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Pedostibes_tuberculosus,no,invertebrate_predator,unknown,arboreal,no,no
Pelobates_fuscus,yes,invertebrate_predator,invertebrate_predator,fossorial,no,yes
Pelobates_varaldii,yes,invertebrate_predator,unknown,fossorial,no,yes
Pelophryne_lighti,no,invertebrate_predator,unknown,arboreal,no,no
Peltophryne_guentheri,yes,invertebrate_predator,invertebrate_predator,terrestrial,Phragmosis,yes
Peltophryne_lemur,yes,invertebrate_predator,invertebrate_predator,terrestrial,Phragmosis,yes
Petropedetes_palmipes,no,invertebrate_predator,unknown,aquatic,no,no
Pherohapsis_menziesi,yes,invertebrate_predator,unknown,terrestrial,no,yes
Phrynobatrachus_krefftii,no,vertebrate_predator,vertebrate_predator,terrestrial,no,no
Phyllobates_bicolor,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Phyllodytes_luteolus,no,invertebrate_predator,invertebrate_predator,arboreal,no,no
Pipa_parva,no,invertebrate_predator,invertebrate_predator,aquatic,no,no
Platymantis_polillensis,no,invertebrate_predator,unknown,arboreal,no,no
Polypedates_macrotis,yes,invertebrate_predator,invertebrate_predator,arboreal,no,no
Poyntonia_paludicola,no,invertebrate_predator,unknown,aquatic,no,no
Proceratophrys_boiei,yes,vertebrate_predator,vertebrate_predator,terrestrial,no,yes
Pseudis_paradoxa,no,vertebrate_predator,vertebrate_predator,aquatic,no,no
Ptychadena_oxyrhynchus,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Pyxicephalus_adspersus,yes,vertebrate_predator,vertebrate_predator,fossorial,no,yes
Quasipaa_boulengeri,no,invertebrate_predator,unknown,aquatic,no,no
Rana_catesbeiana,no,vertebrate_predator,vertebrate_predator,aquatic,no,no
Rana_clamitans,no,vertebrate_predator,vertebrate_predator,aquatic,no,no
Rana_grylio,no,vertebrate_predator,vertebrate_predator,aquatic,no,no
Rhinella_marina,yes,vertebrate_predator,vertebrate_predator,terrestrial,no,no
Rhinoderma_darwinii,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Rhinophrynus_dorsalis,no,invertebrate_predator,invertebrate_predator,fossorial,no,no
Rhombophryne_testudo,yes,invertebrate_predator,unknown,terrestrial,no,no
Rulyrana_spiculata,no,invertebrate_predator,unknown,arboreal,no,no
Scaphiopus_holbrookii,yes,invertebrate_predator,invertebrate_predator,fossorial,no,yes
Schismaderma_carens,no,invertebrate_predator,unknown,terrestrial,no,no
Scutiger_boulengeri,no,invertebrate_predator,unknown,terrestrial,no,no
Sechellophryne_gardineri,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Smilisca_fodiens,yes,invertebrate_predator,unknown,fossorial,Phragmosis,yes
Smilisca_phaeota,no,invertebrate_predator,unknown,arboreal,no,no
Sooglossus_sechellensis,no,invertebrate_predator,unknown,terrestrial,no,no
Spea_multiplicata,no,invertebrate_predator,invertebrate_predator,fossorial,no,no
Stefania_scalae,no,invertebrate_predator,unknown,aquatic,no,no
Strabomantis_anomalus,no,invertebrate_predator,unknown,terrestrial,no,no
Strabomantis_ingeri,yes,invertebrate_predator,unknown,terrestrial,no,yes
Strongylopus_grayii,no,invertebrate_predator,unknown,terrestrial,no,no
Stumpffia_pygmaea,no,invertebrate_predator,unknown,terrestrial,no,no
Telmatobius_thompsoni,no,invertebrate_predator,invertebrate_predator,aquatic,no,no
Telmatobufo_venustus,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Tepuihyla_rodriguezi,no,invertebrate_predator,unknown,arboreal,no,no
Theloderma_stellatum,no,invertebrate_predator,unknown,arboreal,no,no
Thoropa_miliaris,no,invertebrate_predator,invertebrate_predator,aquatic,no,no
Tlalocohyla_loquax,no,invertebrate_predator,unknown,arboreal,no,no
Tomopterna_delalandii,no,invertebrate_predator,unknown,fossorial,no,no
Trachycephalus_jordani,yes,invertebrate_predator,invertebrate_predator,arboreal,Phragmosis,yes
Trichobatrachus_robustus,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Triprion_petasatus,yes,invertebrate_predator,unknown,arboreal,Phragmosis,yes
Werneria_tandyi,no,invertebrate_predator,unknown,aquatic,no,no
Wolterstorffina_parvipalmata,no,invertebrate_predator,unknown,terrestrial,no,no
Xenohyla_truncata,no,invertebrate_predator,invertebrate_predator,arboreal,no,no
Xenophrys_major,no,invertebrate_predator,invertebrate_predator,terrestrial,no,no
Xenopus_laevis,no,vertebrate_predator,vertebrate_predator,aquatic,no,no